RAIL_OPR_ISTT_CD,RAIL_OPR_ISTT_NM,LN_CD,LN_NM,STIN_CD,STIN_NM
BG,부산김해경전철주식회사,B1,부산김해경전철,0101,사상
BG,부산김해경전철주식회사,B1,부산김해경전철,0102,괘법르네시떼
BG,부산김해경전철주식회사,B1,부산김해경전철,0103,서부산유통지구
BG,부산김해경전철주식회사,B1,부산김해경전철,0104,공항
BG,부산김해경전철주식회사,B1,부산김해경전철,0105,덕두
BG,부산김해경전철주식회사,B1,부산김해경전철,0106,등구
BG,부산김해경전철주식회사,B1,부산김해경전철,0107,대저
BG,부산김해경전철주식회사,B1,부산김해경전철,0108,평강
BG,부산김해경전철주식회사,B1,부산김해경전철,0109,대사
BG,부산김해경전철주식회사,B1,부산김해경전철,0110,불암
BG,부산김해경전철주식회사,B1,부산김해경전철,0111,지내
BG,부산김해경전철주식회사,B1,부산김해경전철,0112,김해대학
BG,부산김해경전철주식회사,B1,부산김해경전철,0113,인제대
BG,부산김해경전철주식회사,B1,부산김해경전철,0114,김해시청
BG,부산김해경전철주식회사,B1,부산김해경전철,0115,부원
BG,부산김해경전철주식회사,B1,부산김해경전철,0116,봉황
BG,부산김해경전철주식회사,B1,부산김해경전철,0117,수로왕릉
BG,부산김해경전철주식회사,B1,부산김해경전철,0118,박물관
BG,부산김해경전철주식회사,B1,부산김해경전철,0119,연지공원
BG,부산김해경전철주식회사,B1,부산김해경전철,0120,장신대
BG,부산김해경전철주식회사,B1,부산김해경전철,0121,가야대
BS,부산교통공사,1,1호선,100,동매
BS,부산교통공사,1,1호선,101,신평
BS,부산교통공사,1,1호선,102,하단
BS,부산교통공사,1,1호선,103,당리
BS,부산교통공사,1,1호선,104,사하
BS,부산교통공사,1,1호선,105,괴정
BS,부산교통공사,1,1호선,106,대티
BS,부산교통공사,1,1호선,107,서대신
BS,부산교통공사,1,1호선,108,동대신
BS,부산교통공사,1,1호선,109,토성
BS,부산교통공사,1,1호선,110,자갈치
BS,부산교통공사,1,1호선,111,남포
BS,부산교통공사,1,1호선,112,중앙
BS,부산교통공사,1,1호선,113,부산역
BS,부산교통공사,1,1호선,114,초량
BS,부산교통공사,1,1호선,115,부산진
BS,부산교통공사,1,1호선,116,좌천
BS,부산교통공사,1,1호선,117,범일
BS,부산교통공사,1,1호선,118,범내골
BS,부산교통공사,1,1호선,119,서면
BS,부산교통공사,1,1호선,120,부전
BS,부산교통공사,1,1호선,121,양정
BS,부산교통공사,1,1호선,122,시청
BS,부산교통공사,1,1호선,123,연산
BS,부산교통공사,1,1호선,124,교대
BS,부산교통공사,1,1호선,125,동래
BS,부산교통공사,1,1호선,126,명륜
